,cell,original_clone,agg_clone
338,CRC04_PT5_728,1,crc04_clone1
339,CRC04_PT5_729,1,crc04_clone1
340,CRC04_PT5_730,1,crc04_clone1
341,CRC04_PT5_731,1,crc04_clone1
342,CRC10_LN1_003,2,crc10_clone2
343,CRC10_LN1_004,1,crc10_clone1
344,CRC10_LN1_005,2,crc10_clone2
345,CRC10_LN1_006,2,crc10_clone2
346,CRC10_LN1_007,2,crc10_clone2
347,CRC10_LN1_008,2,crc10_clone2
348,CRC10_LN1_010,0,crc10_clone0
349,CRC10_LN1_011,2,crc10_clone2
350,CRC10_LN1_012,0,crc10_clone0
351,CRC10_LN1_013,3,crc10_clone3
352,CRC10_LN1_014,0,crc10_clone0
353,CRC10_LN1_015,1,crc10_clone1
354,CRC10_LN1_016,1,crc10_clone1
355,CRC10_LN1_017,2,crc10_clone2
356,CRC10_LN1_018,2,crc10_clone2
357,CRC10_LN1_019,1,crc10_clone1
358,CRC10_LN1_020,1,crc10_clone1
359,CRC10_LN1_021,0,crc10_clone0
360,CRC10_LN1_022,1,crc10_clone1
361,CRC10_LN1_023,2,crc10_clone2
362,CRC10_LN1_024,2,crc10_clone2
363,CRC10_LN1_025,3,crc10_clone3
364,CRC10_LN1_026,1,crc10_clone1
365,CRC10_LN1_028,2,crc10_clone2
366,CRC10_LN1_029,2,crc10_clone2
367,CRC10_LN1_030,0,crc10_clone0
368,CRC10_LN1_031,1,crc10_clone1
369,CRC10_LN1_032,2,crc10_clone2
370,CRC10_LN1_033,0,crc10_clone0
371,CRC10_LN1_035,1,crc10_clone1
372,CRC10_LN1_037,1,crc10_clone1
373,CRC10_LN1_038,1,crc10_clone1
374,CRC10_LN1_039,1,crc10_clone1
375,CRC10_LN1_041,0,crc10_clone0
376,CRC10_LN1_042,2,crc10_clone2
377,CRC10_LN1_043,0,crc10_clone0
378,CRC10_LN1_044,1,crc10_clone1
379,CRC10_LN1_046,1,crc10_clone1
380,CRC10_LN1_047,2,crc10_clone2
381,CRC10_LN1_048,1,crc10_clone1
382,CRC10_LN3_049,1,crc10_clone1
383,CRC10_LN3_050,1,crc10_clone1
384,CRC10_LN3_051,1,crc10_clone1
385,CRC10_LN3_052,1,crc10_clone1
386,CRC10_LN3_053,1,crc10_clone1
387,CRC10_LN3_054,1,crc10_clone1
388,CRC10_LN3_055,1,crc10_clone1
389,CRC10_LN3_056,1,crc10_clone1
390,CRC10_LN3_057,1,crc10_clone1
391,CRC10_LN3_058,1,crc10_clone1
392,CRC10_LN3_059,1,crc10_clone1
393,CRC10_LN3_060,1,crc10_clone1
394,CRC10_LN3_061,1,crc10_clone1
395,CRC10_LN3_062,1,crc10_clone1
396,CRC10_LN3_063,1,crc10_clone1
397,CRC10_LN3_064,1,crc10_clone1
398,CRC10_LN3_065,1,crc10_clone1
399,CRC10_LN3_066,0,crc10_clone0
400,CRC10_LN3_067,1,crc10_clone1
401,CRC10_LN3_070,0,crc10_clone0
402,CRC10_LN3_073,1,crc10_clone1
403,CRC10_LN3_080,1,crc10_clone1
404,CRC10_NC_201,0,crc10_clone0
405,CRC10_NC_202,0,crc10_clone0
406,CRC10_NC_203,0,crc10_clone0
407,CRC10_NC_204,0,crc10_clone0
408,CRC10_NC_205,0,crc10_clone0
409,CRC10_NC_206,0,crc10_clone0
410,CRC10_PT1_149,2,crc10_clone2
411,CRC10_PT1_150,1,crc10_clone1
412,CRC10_PT1_155,1,crc10_clone1
413,CRC10_PT1_156,1,crc10_clone1
414,CRC10_PT1_160,1,crc10_clone1
415,CRC10_PT1_175,2,crc10_clone2
416,CRC10_PT1_189,1,crc10_clone1
417,CRC10_PT1_191,1,crc10_clone1
418,CRC10_PT2_235,1,crc10_clone1
419,CRC10_PT3_106,1,crc10_clone1
420,CRC10_PT3_107,1,crc10_clone1
421,CRC10_PT3_108,1,crc10_clone1
422,CRC10_PT3_109,1,crc10_clone1
423,CRC10_PT3_110,1,crc10_clone1
424,CRC10_PT3_111,1,crc10_clone1
425,CRC10_PT3_112,1,crc10_clone1
426,CRC10_PT3_113,1,crc10_clone1
427,CRC10_PT3_115,1,crc10_clone1
428,CRC10_PT3_117,1,crc10_clone1
429,CRC10_PT3_118,1,crc10_clone1
430,CRC10_PT3_119,1,crc10_clone1
431,CRC10_PT3_120,1,crc10_clone1
432,CRC10_PT3_121,1,crc10_clone1
433,CRC10_PT3_122,1,crc10_clone1
434,CRC10_PT3_123,1,crc10_clone1
435,CRC10_PT3_124,0,crc10_clone0
436,CRC10_PT3_125,1,crc10_clone1
437,CRC10_PT3_126,1,crc10_clone1
438,CRC10_PT3_127,1,crc10_clone1
439,CRC10_PT3_128,1,crc10_clone1
440,CRC10_PT3_129,1,crc10_clone1
441,CRC10_PT3_130,1,crc10_clone1
442,CRC10_PT3_132,1,crc10_clone1
443,CRC10_PT3_133,1,crc10_clone1
444,CRC10_PT3_135,1,crc10_clone1
445,CRC10_PT3_136,1,crc10_clone1
446,CRC10_PT3_137,1,crc10_clone1
447,CRC10_PT3_138,1,crc10_clone1
448,CRC10_PT3_139,1,crc10_clone1
449,CRC10_PT3_140,0,crc10_clone0
450,CRC10_PT3_141,1,crc10_clone1
451,CRC10_PT3_142,1,crc10_clone1
452,CRC10_PT3_143,1,crc10_clone1
453,CRC10_PT3_144,1,crc10_clone1
454,CRC10_PT3_145,1,crc10_clone1
455,CRC10_PT3_146,1,crc10_clone1
456,CRC10_PT4_733,1,crc10_clone1
457,CRC10_PT4_734,3,crc10_clone3
458,CRC10_PT4_738,3,crc10_clone3
459,CRC10_PT4_739,1,crc10_clone1
460,CRC10_PT4_740,1,crc10_clone1
461,CRC10_PT4_743,1,crc10_clone1
462,CRC10_PT4_745,1,crc10_clone1
463,CRC10_PT4_746,1,crc10_clone1
464,CRC10_PT4_747,1,crc10_clone1
