cell,predict_cell
PAT20(ESO)_AD298,PAT20(ESO)_E_182
PAT20(ESO)_AD300,PAT14(HGD)_C_119
PAT20(ESO)_AD302,PAT6(HGD)_I_289
PAT20(ESO)_AD304,PAT20(ESO)_E_369
PAT20(ESO)_AD306,PAT19(LGD)_B_233
PAT20(ESO)_AD309,PAT20(ESO)_E_153
PAT20(ESO)_AD315,PAT20(ESO)_E_189
PAT20(ESO)_AD316,PAT19(LGD)_B_6
PAT20(ESO)_AD318,PAT20(CARD)_F_65
PAT20(ESO)_AD319,PAT20(HGD1)_D_71
PAT20(ESO)_AD323,PAT20(ESO)_E_234
PAT20(ESO)_AD325,PAT14(NDBE)_D_148
PAT20(ESO)_AD326,PAT19(LGD)_B_169
PAT20(ESO)_AD327,PAT19(LGD)_B_316
PAT20(ESO)_AD328,PAT20(CARD)_F_352
PAT20(ESO)_AD329,PAT20(ESO)_E_255
PAT20(ESO)_AD330,PAT14(HGD)_C_332
PAT20(ESO)_AD331,PAT16(NDBE)_B_322
PAT20(ESO)_AD332,PAT20(HGD1)_D_291
PAT20(ESO)_AD335,PAT9(NDBE)_J_83
PAT20(ESO)_AD337,PAT14(NDBE)_D_190
PAT20(ESO)_AD338,PAT6(HGD)_I_259
PAT20(ESO)_AD339,PAT6(HGD)_I_162
PAT20(ESO)_AD340,PAT19(LGD)_B_358
PAT20(ESO)_AD341,PAT20(ESO)_E_321
PAT20(ESO)_AD343,PAT20(CARD)_F_376
PAT20(ESO)_AD345,PAT20(CARD)_F_168
PAT20(ESO)_AD350,PAT6(LGD)_H_321
PAT20(ESO)_AD351,PAT20(ESO)_E_167
PAT20(ESO)_AD352,PAT19(LGD)_B_201
PAT20(ESO)_AD353,PAT20(ESO)_E_351
PAT20(ESO)_AD354,PAT20(CARD)_F_102
PAT20(ESO)_AD355,PAT14(NDBE)_D_268
PAT20(ESO)_AD357,PAT20(ESO)_E_297
PAT20(ESO)_AD358,PAT9(NDBE)_J_282
PAT20(ESO)_AD359,PAT19(LGD)_B_173
PAT20(ESO)_AD360,PAT20(CARD)_F_246
PAT20(ESO)_AD362,PAT14(NDBE)_D_330
PAT20(ESO)_AD364,PAT19(LGD)_B_299
PAT20(ESO)_AD366,PAT6(HGD)_I_216
PAT20(ESO)_AD371,PAT16(NDBE)_B_113
PAT20(ESO)_AD372,PAT9(NDBE)_J_310
PAT20(ESO)_AD376,PAT20(ESO)_E_133
PAT20(ESO)_AD377,PAT20(ESO)_E_374
PAT20(ESO)_AD378,PAT20(ESO)_E_183
PAT20(ESO)_AD379,PAT20(ESO)_E_100
PAT20(ESO)_AD381,PAT9(NDBE)_J_169
PAT20(ESO)_AD382,PAT20(ESO)_E_174
PAT20(ESO)_AD383,PAT20(ESO)_E_357
PAT9(NDBE)_BL003,PAT6(HGD)_I_194
PAT9(NDBE)_BL008,PAT14(NDBE)_D_108
PAT9(NDBE)_BL009,PAT19(LGD)_B_311
PAT9(NDBE)_BL010,PAT16(NDBE)_B_98
PAT9(NDBE)_BL015,PAT19(LGD)_B_236
PAT9(NDBE)_BL017,PAT19(LGD)_B_67
