cell,predict_cell,step
PAT20(CARD)_AH244,PAT20(ESO)_E_79,1
PAT20(CARD)_AH245,PAT19(LGD)_B_190,1
PAT20(CARD)_AH247,PAT19(LGD)_B_96,1
PAT20(CARD)_AH248,PAT6(HGD)_I_171,1
PAT20(CARD)_AH249,PAT9(NDBE)_J_170,1
PAT20(CARD)_AH250,PAT9(NDBE)_J_264,1
PAT20(CARD)_AH251,PAT9(NDBE)_J_149,1
PAT20(CARD)_AH253,PAT20(ESO)_E_229,1
PAT20(CARD)_AH255,PAT20(CARD)_F_240,1
PAT20(CARD)_AH256,PAT19(LGD)_B_84,1
PAT20(CARD)_AH259,PAT20(CARD)_F_41,1
PAT20(CARD)_AH261,PAT20(CARD)_F_185,1
PAT20(CARD)_AH262,PAT16(EAC)_A_122,1
PAT20(CARD)_AH263,PAT20(ESO)_E_239,1
PAT20(CARD)_AH264,PAT19(LGD)_B_161,1
PAT20(CARD)_AH265,PAT6(HGD)_I_69,1
PAT20(CARD)_AH266,PAT9(NDBE)_J_311,1
PAT20(CARD)_AH267,PAT20(ESO)_E_201,1
PAT20(CARD)_AH268,PAT19(LGD)_B_77,1
PAT20(CARD)_AH270,PAT9(NDBE)_J_256,1
PAT20(CARD)_AH271,PAT20(CARD)_F_151,1
PAT20(CARD)_AH272,PAT19(LGD)_B_123,1
PAT20(CARD)_AH273,PAT20(HGD1)_D_361,1
PAT20(CARD)_AH275,PAT20(ESO)_E_197,1
PAT20(CARD)_AH276,PAT6(LGD)_H_349,1
PAT20(CARD)_AH277,PAT20(ESO)_E_294,1
PAT20(CARD)_AH278,PAT20(CARD)_F_237,1
PAT20(CARD)_AH280,PAT20(ESO)_E_375,1
PAT20(CARD)_AH282,PAT6(LGD)_H_167,1
PAT20(CARD)_AH283,PAT19(LGD)_B_374,1
PAT20(CARD)_AH284,PAT19(LGD)_B_51,1
PAT20(CARD)_AH285,PAT16(EAC)_A_65,1
PAT20(CARD)_AH287,PAT16(NDBE)_B_317,1
PAT20(CARD)_AH289,PAT9(NDBE)_J_357,1
PAT20(CARD)_AH291,PAT20(ESO)_E_277,1
PAT20(CARD)_AH293,PAT16(EAC)_A_40,1
PAT20(CARD)_AH294,PAT20(CARD)_F_107,1
PAT20(CARD)_AH297,PAT9(NDBE)_J_131,1
PAT20(CARD)_AH298,PAT19(LGD)_B_203,1
PAT20(CARD)_AH300,PAT19(LGD)_B_308,1
PAT20(CARD)_AH301,PAT20(ESO)_E_262,1
PAT20(CARD)_AH304,PAT6(LGD)_H_282,1
PAT20(CARD)_AH305,PAT20(CARD)_F_353,1
PAT20(CARD)_AH306,PAT20(ESO)_E_275,1
PAT20(CARD)_AH307,PAT20(ESO)_E_74,1
PAT20(CARD)_AH309,PAT20(CARD)_F_183,1
PAT20(CARD)_AH311,PAT19(LGD)_B_114,1
PAT20(CARD)_AH313,PAT14(NDBE)_D_72,1
PAT20(CARD)_AH314,PAT9(NDBE)_J_203,1
PAT20(CARD)_AH315,PAT20(HGD1)_D_359,1
PAT20(CARD)_AH316,PAT20(CARD)_F_14,1
PAT20(CARD)_AH317,PAT6(LGD)_H_310,1
PAT20(CARD)_AH318,PAT20(ESO)_E_334,1
PAT20(CARD)_AH319,PAT16(NDBE)_B_178,1
PAT20(CARD)_AH320,PAT9(NDBE)_J_220,1
PAT20(CARD)_AH322,PAT6(HGD)_I_173,1
PAT20(CARD)_AH324,PAT9(NDBE)_J_255,1
PAT20(CARD)_AH325,PAT20(ESO)_E_134,1
PAT20(CARD)_AH327,PAT9(NDBE)_J_301,1
PAT20(CARD)_AH329,PAT20(CARD)_F_235,1
PAT20(CARD)_AH332,PAT14(NDBE)_D_212,1
PAT20(CARD)_AH336,PAT9(NDBE)_J_16,1
PAT20(CARD)_AH339,PAT6(HGD)_I_208,1
PAT20(CARD)_AH341,PAT16(NDBE)_B_354,1
PAT20(CARD)_AH342,PAT20(CARD)_F_362,1
PAT20(CARD)_AH343,PAT6(HGD)_I_281,1
PAT20(CARD)_AH344,PAT19(LGD)_B_24,1
PAT20(CARD)_AH346,PAT19(LGD)_B_40,1
PAT20(CARD)_AH347,PAT20(ESO)_E_98,1
PAT20(CARD)_AH349,PAT9(NDBE)_J_15,1
PAT20(CARD)_AH350,PAT9(NDBE)_J_31,1
PAT20(CARD)_AH352,PAT16(NDBE)_B_230,1
PAT20(CARD)_AH353,PAT9(NDBE)_J_102,1
PAT20(CARD)_AH354,PAT16(EAC)_A_95,1
PAT20(CARD)_AH355,PAT20(ESO)_E_141,1
PAT20(CARD)_AH356,PAT14(NDBE)_D_64,1
PAT20(CARD)_AH357,PAT9(NDBE)_J_326,1
PAT20(CARD)_AH358,PAT20(CARD)_F_134,1
