,clone0,clone1,clone2,clone3
ENSG00000131844,2.085714285714286,1.951219512195122,2.0,2.0
ENSG00000172046,1.7428571428571429,2.0,2.0,2.0
ENSG00000099821,1.9714285714285715,2.0,2.0,2.0
ENSG00000188404,1.9428571428571428,2.0,2.0,1.0
ENSG00000171557,1.4857142857142858,1.975609756097561,2.0,1.0
ENSG00000131470,2.0,2.024390243902439,2.0,2.25
ENSG00000158457,1.1428571428571428,2.8536585365853657,2.0,2.0
ENSG00000049883,2.085714285714286,1.951219512195122,2.0,2.0
ENSG00000102287,2.142857142857143,2.707317073170732,2.0,1.75
ENSG00000131467,2.0,2.024390243902439,2.0,2.25
ENSG00000185262,2.0285714285714285,2.024390243902439,2.0,2.25
ENSG00000228315,1.4857142857142858,2.0,2.0,2.0
ENSG00000131845,1.9714285714285715,1.975609756097561,2.0,1.25
ENSG00000097033,1.5714285714285714,2.0,2.0,1.25
ENSG00000257127,1.2,1.951219512195122,2.0,1.75
ENSG00000157106,1.3142857142857143,2.0,2.0,2.0
ENSG00000153187,1.9428571428571428,1.951219512195122,2.0,1.0
ENSG00000163412,1.7428571428571429,1.975609756097561,2.0,2.0
ENSG00000165828,1.0,1.0,2.0,1.0
ENSG00000123384,1.2571428571428571,1.975609756097561,2.0,1.75
ENSG00000100714,1.9428571428571428,2.024390243902439,2.0,2.0
ENSG00000120696,2.657142857142857,2.024390243902439,2.0,2.5
ENSG00000167635,2.0,2.0,2.0,2.0
ENSG00000175820,2.5428571428571427,2.024390243902439,2.0,2.25
ENSG00000006757,2.3714285714285714,2.707317073170732,2.0,1.75
ENSG00000163154,1.9428571428571428,2.0,2.0,1.0
ENSG00000110195,3.857142857142857,3.707317073170732,2.0,3.5
ENSG00000160233,1.8,1.975609756097561,2.0,1.25
ENSG00000186567,2.0,2.0,2.0,1.25
ENSG00000205744,1.9714285714285715,2.0,2.0,2.0
ENSG00000180182,2.4285714285714284,2.7804878048780486,2.0,1.75
ENSG00000241370,2.0,1.951219512195122,2.0,1.75
ENSG00000074319,2.057142857142857,2.8292682926829267,2.0,1.5
ENSG00000135596,2.0,1.975609756097561,2.0,2.0
ENSG00000179091,4.6571428571428575,5.024390243902439,2.0,4.75
ENSG00000149480,2.0,2.8536585365853657,2.0,1.5
ENSG00000163209,1.9428571428571428,2.0,2.0,1.0
ENSG00000173660,1.6571428571428573,2.0,2.0,1.25
ENSG00000196371,3.7714285714285714,2.1463414634146343,2.0,3.5
ENSG00000169715,1.3142857142857143,1.975609756097561,2.0,2.0
ENSG00000105197,2.0,2.0,2.0,2.0
ENSG00000112658,2.0,1.951219512195122,2.0,1.75
ENSG00000101247,1.0,2.0,2.0,1.0
ENSG00000163132,1.4857142857142858,1.975609756097561,2.0,1.0
ENSG00000087470,1.1428571428571428,1.951219512195122,2.0,2.0
ENSG00000146007,2.085714285714286,2.0,1.9230769230769231,2.5
ENSG00000137501,3.8,3.6097560975609757,2.0,3.5
ENSG00000155313,1.457142857142857,1.975609756097561,2.0,1.25
ENSG00000145014,1.7142857142857142,2.731707317073171,2.0,2.0
ENSG00000163807,1.7428571428571429,2.0,2.0,2.0
ENSG00000113739,2.057142857142857,1.6829268292682926,2.0,2.5
ENSG00000130812,2.0,2.0,2.0,2.0
ENSG00000142910,1.6857142857142857,1.024390243902439,2.0,1.0
ENSG00000166169,1.0,1.170731707317073,2.0,1.0
ENSG00000165355,1.9142857142857144,2.024390243902439,2.0,2.0
ENSG00000266094,1.9428571428571428,1.975609756097561,2.0,1.0
ENSG00000104472,4.6571428571428575,5.024390243902439,2.0,4.75
ENSG00000159069,1.2,1.975609756097561,2.0,1.0
ENSG00000085563,1.8285714285714285,2.8536585365853657,2.0,2.0
ENSG00000114999,2.1714285714285713,2.0,2.0,3.25
ENSG00000162775,1.6285714285714286,2.024390243902439,2.0,1.25
ENSG00000196664,2.5142857142857142,2.7804878048780486,2.0,1.75
ENSG00000120686,2.5714285714285716,2.0,2.0,2.5
ENSG00000108592,2.0,2.048780487804878,2.0,2.0
ENSG00000112031,2.0,1.9024390243902438,2.0,2.0
ENSG00000165182,2.4857142857142858,2.7560975609756095,2.0,1.75
ENSG00000153246,2.2285714285714286,2.0,2.0,3.25
ENSG00000145425,1.457142857142857,1.951219512195122,2.0,1.0
ENSG00000154874,1.0,1.975609756097561,2.0,1.0
ENSG00000139209,1.2285714285714286,1.951219512195122,2.0,2.0
ENSG00000077935,1.6,2.0,2.0,2.0
ENSG00000172349,1.1428571428571428,2.0,2.0,1.25
