,cell,original_clone,agg_clone
379,CRC10_LN1_046,0,crc10_clone0
380,CRC10_LN1_047,2,crc10_clone2
381,CRC10_LN1_048,0,crc10_clone0
382,CRC10_LN3_049,0,crc10_clone0
383,CRC10_LN3_050,0,crc10_clone0
384,CRC10_LN3_051,0,crc10_clone0
385,CRC10_LN3_052,0,crc10_clone0
386,CRC10_LN3_053,0,crc10_clone0
387,CRC10_LN3_054,0,crc10_clone0
388,CRC10_LN3_055,0,crc10_clone0
389,CRC10_LN3_056,0,crc10_clone0
390,CRC10_LN3_057,0,crc10_clone0
391,CRC10_LN3_058,0,crc10_clone0
392,CRC10_LN3_059,0,crc10_clone0
393,CRC10_LN3_060,0,crc10_clone0
394,CRC10_LN3_061,0,crc10_clone0
395,CRC10_LN3_062,0,crc10_clone0
396,CRC10_LN3_063,0,crc10_clone0
397,CRC10_LN3_064,0,crc10_clone0
398,CRC10_LN3_065,0,crc10_clone0
399,CRC10_LN3_066,1,crc10_clone1
400,CRC10_LN3_067,0,crc10_clone0
401,CRC10_LN3_070,1,crc10_clone1
402,CRC10_LN3_073,0,crc10_clone0
403,CRC10_LN3_080,0,crc10_clone0
404,CRC10_NC_201,3,crc10_clone3
405,CRC10_NC_202,3,crc10_clone3
406,CRC10_NC_203,3,crc10_clone3
407,CRC10_NC_204,3,crc10_clone3
408,CRC10_NC_205,3,crc10_clone3
409,CRC10_NC_206,3,crc10_clone3
410,CRC10_PT1_149,2,crc10_clone2
411,CRC10_PT1_150,0,crc10_clone0
412,CRC10_PT1_155,0,crc10_clone0
413,CRC10_PT1_156,0,crc10_clone0
414,CRC10_PT1_160,0,crc10_clone0
415,CRC10_PT1_175,2,crc10_clone2
416,CRC10_PT1_189,0,crc10_clone0
417,CRC10_PT1_191,0,crc10_clone0
418,CRC10_PT2_235,0,crc10_clone0
419,CRC10_PT3_106,0,crc10_clone0
420,CRC10_PT3_107,0,crc10_clone0
421,CRC10_PT3_108,0,crc10_clone0
422,CRC10_PT3_109,0,crc10_clone0
423,CRC10_PT3_110,0,crc10_clone0
424,CRC10_PT3_111,0,crc10_clone0
425,CRC10_PT3_112,0,crc10_clone0
426,CRC10_PT3_113,0,crc10_clone0
427,CRC10_PT3_115,0,crc10_clone0
428,CRC10_PT3_117,0,crc10_clone0
429,CRC10_PT3_118,0,crc10_clone0
430,CRC10_PT3_119,0,crc10_clone0
431,CRC10_PT3_120,0,crc10_clone0
432,CRC10_PT3_121,0,crc10_clone0
433,CRC10_PT3_122,0,crc10_clone0
434,CRC10_PT3_123,0,crc10_clone0
435,CRC10_PT3_124,1,crc10_clone1
436,CRC10_PT3_125,0,crc10_clone0
437,CRC10_PT3_126,0,crc10_clone0
438,CRC10_PT3_127,0,crc10_clone0
439,CRC10_PT3_128,0,crc10_clone0
440,CRC10_PT3_129,0,crc10_clone0
441,CRC10_PT3_130,0,crc10_clone0
442,CRC10_PT3_132,0,crc10_clone0
443,CRC10_PT3_133,0,crc10_clone0
444,CRC10_PT3_135,0,crc10_clone0
445,CRC10_PT3_136,0,crc10_clone0
446,CRC10_PT3_137,0,crc10_clone0
447,CRC10_PT3_138,0,crc10_clone0
448,CRC10_PT3_139,0,crc10_clone0
449,CRC10_PT3_140,1,crc10_clone1
450,CRC10_PT3_141,0,crc10_clone0
451,CRC10_PT3_142,0,crc10_clone0
452,CRC10_PT3_143,0,crc10_clone0
453,CRC10_PT3_144,0,crc10_clone0
454,CRC10_PT3_145,0,crc10_clone0
455,CRC10_PT3_146,0,crc10_clone0
456,CRC10_PT4_733,0,crc10_clone0
457,CRC10_PT4_734,0,crc10_clone0
458,CRC10_PT4_738,0,crc10_clone0
459,CRC10_PT4_739,0,crc10_clone0
460,CRC10_PT4_740,0,crc10_clone0
461,CRC10_PT4_743,0,crc10_clone0
462,CRC10_PT4_745,0,crc10_clone0
463,CRC10_PT4_746,0,crc10_clone0
464,CRC10_PT4_747,0,crc10_clone0
