rna_cell,predicted_dna_cell,step,corr_val
BB216,H_302,1,0.04911348436112895
BB217,H_114,1,0.07055764102981692
BB218,H_299,1,0.08528820297709769
BB219,H_120,1,0.07456062905687756
BB221,H_267,1,0.04940812915388632
BB222,H_55,1,0.04997799228840979
BB224,H_47,1,0.05104342717017532
BB226,H_219,1,0.033744113605073116
BB228,H_176,1,0.04379095070110654
BB229,H_197,1,0.07984844960001632
BB231,H_123,1,0.029458919959391924
BB234,H_340,1,0.026133787896849805
BB235,H_353,1,0.10095819265156476
BB236,H_339,1,0.046265044229591275
BB237,H_271,1,0.08166604270920114
BB239,H_366,1,0.03337932755923204
BB240,H_139,1,0.06465216675165796
BB242,H_372,1,0.08861215886858169
BB243,H_116,1,0.06131670890532773
BB248,H_8,1,0.11174519932241718
BB250,H_346,1,0.055331485025300164
BB251,H_193,1,0.05598343800822718
BB256,H_1,1,0.044291250327168956
BB258,H_124,1,0.0792754206044502
BB260,H_214,1,0.07122927475909217
BB261,H_181,1,0.04486471586561134
BB263,H_242,1,0.050399662514576185
BB266,H_108,1,0.06094300208842382
BB267,H_110,1,0.06676455364266871
BB268,H_308,1,0.05786453118147943
BB271,H_383,1,0.05895783787000059
BB274,H_312,1,0.05343868118211881
BB275,H_259,1,0.05161638106674287
BB280,H_232,1,0.08015753541844499
BB281,H_97,1,0.052269564238919056
BB285,H_241,1,0.04747654847690679
BB287,H_117,1,0.0920377616212871
BB288,H_167,1,0.053988980812743524
BB290,H_22,1,0.046632918241995926
BB291,H_191,1,0.047606633656075606
BB292,H_250,1,0.05430204152837643
BB295,H_273,1,0.06214048135621988
BB298,H_229,1,0.07141050297527583
BB299,H_100,1,0.08347750214688783
BB312,H_160,1,0.04685566894391366
BB316,H_74,1,0.04428926272279601
BB317,H_343,1,0.10696088284139041
BB320,H_169,1,0.06927543666302928
BB321,H_274,1,0.08366167629492705
BB326,H_41,1,0.05636572152084103
BB328,H_329,1,0.08179865736367155
BB335,H_260,1,0.07815464276607498
BB337,H_251,1,0.06575017137109966
BB340,H_184,1,0.07781838311832474
BB341,H_25,1,0.06831374917990726
BB342,H_307,1,0.07848490174458082
BB343,H_203,1,0.052896618777100904
BB344,H_67,1,0.04184791860075204
BB346,H_337,1,0.0830827418313986
BB347,H_204,1,0.06683114352260942
BB354,H_88,1,0.08538913211113536
BB356,H_137,1,0.04165426632580943
BB357,H_52,1,0.03514211050176105
BB358,H_42,1,0.047696168907396384
BB369,H_341,1,0.05021915671231767
BB370,H_140,1,0.05246700859332697
BB372,H_269,1,0.06012776614014456
BB375,H_109,1,0.07156609903923612
BB376,H_49,1,0.02760722226853735
BB379,H_382,1,0.043243402307958256
BB381,H_327,1,0.038329129577617325
BB382,H_188,1,0.056869186362278695
BB384,H_12,1,0.062105976654625084
BB196,H_133,TEST,0.01800034693849626
